"Metabolite","Correlation","p_value","p_adjusted"
"15-methylpalmitate [P, nt-ms]",-0.280316635400004,5.0578165385854e-09,3.21677131854031e-06
"hexanoylcarnitine [P, nt-ms]",-0.279197028738834,5.85188353532847e-09,3.72179792846891e-06
"tryptophan [P, t-ms]",0.272991627883406,1.29780213921069e-08,8.25402160537999e-06
"2-aminooctanoate [P, nt-ms]",0.272958194487786,1.30331340893925e-08,8.28907328085364e-06
"xanthine [P, nt-ms]",-0.272034804477479,1.46480395603135e-08,9.31615316035937e-06
"propionylcarnitine [P, nt-ms]",0.27151528660395,1.56400523411709e-08,9.94707328898468e-06
"3-hydroxylaurate [P, nt-ms]",-0.268943534141053,2.15890845924606e-08,1.37306578008049e-05
"erythritol [P, nt-ms]",0.265552126039297,3.28559449750624e-08,2.08963810041397e-05
"N-acetylisoleucine [P, nt-ms]",0.262066019162829,5.02865428631107e-08,3.19822412609384e-05
"3-phenylpropionate (hydrocinnamate) [P, nt-ms]",0.26166843179057,5.27671264427759e-08,3.35598924176055e-05
"13-HODE + 9-HODE [P, nt-ms]",-0.257943200172483,8.25324474741572e-08,5.2490636593564e-05
"C4:1-DC (fumarylcarnitine) and C6 (hexanoylcarnitine) [P, t-ms]",-0.255695954236147,1.07735002918695e-07,6.85194618562902e-05
"5-methylthioadenosine (MTA) [P, nt-ms]",0.25443060097966,1.25037945911007e-07,7.95241335994005e-05
"isobutyrylglycine [P, nt-ms]",0.246155341412007,3.2479196323363e-07,0.000206567688616589
"pseudouridine [P, nt-ms]",0.246048130897541,3.28761017295922e-07,0.000209092007000207
"3-indoxyl sulfate [P, nt-ms]",0.245563571204888,3.47289384779813e-07,0.000220876048719961
"oleoyl ethanolamide [P, nt-ms]",-0.244635086218838,3.85636411974036e-07,0.000245264758015487
"3-hydroxybutyrate (BHBA) [P, nt-ms]",-0.243852960056684,4.21068516635193e-07,0.000267799576579982
"4-hydroxyphenylpyruvate [P, nt-ms]",0.242174068370415,5.0799687330685e-07,0.000323086011423157
"7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca) [P, nt-ms]",-0.241313996342613,5.58967077214256e-07,0.000355503061108267
"carnitine [P, nt-ms]",0.241075131362342,5.73972706190712e-07,0.000365046641137293
"C3 (propionylcarnitine) [P, t-ms]",0.240112728790081,6.38445873655295e-07,0.000406051575644768
"N1-methyl-2-pyridone-5-carboxamide [P, nt-ms]",0.236289889386654,9.70176654295586e-07,0.000617032352131993
"gamma-glutamylglycine [P, nt-ms]",0.234792826884982,1.14073439658104e-06,0.000725507076225539
"citrulline [P, nt-ms]",-0.233486497426949,1.31273213159428e-06,0.000834897635693961
"guanidinoacetate [P, nt-ms]",-0.231558824434165,1.61261408131138e-06,0.00102562255571404
"acetoacetate [P, nt-ms]",-0.229001433304531,2.11294044704854e-06,0.00134383012432287
"1-arachidoyl-GPC (20:0) [P, nt-ms]",0.228710044485222,2.1785783876483e-06,0.00138557585454432
"phenol sulfate [P, nt-ms]",0.22831797913711,2.26997922834837e-06,0.00144370678922956
"cinnamoylglycine [P, nt-ms]",-0.227955786698528,2.35766711395971e-06,0.00149947628447838
"C16:2 (hexadecadienylcarnitine) [P, t-ms]",-0.226418506346881,2.76724198285659e-06,0.00175996590109679
"choline phosphate [P, nt-ms]",-0.223400654736568,3.77746392127012e-06,0.0024024670539278
"N-acetylglycine [P, nt-ms]",-0.221940783590833,4.38441643506889e-06,0.00278848885270381
"indolelactate [P, nt-ms]",0.221780104049107,4.45664111914943e-06,0.00283442375177904
"cortisol [P, nt-ms]",0.221535847176003,4.56861291413401e-06,0.00290563781338923
"C14:2 (tetradecadienylcarnitine) [P, t-ms]",-0.220756206690561,4.94425794965434e-06,0.00314454805598016
"p-cresol sulfate [P, nt-ms]",0.219682752345545,5.50995654075519e-06,0.0035043323599203
"gamma-glutamylhistidine [P, nt-ms]",0.216840845949706,7.3210604816717e-06,0.0046561944663432
"N-acetylalliin [P, nt-ms]",-0.216798525606905,7.35190086615246e-06,0.00467580895087296
"C12:1 (dodecenoylcarnitine) [P, t-ms]",-0.216100674619637,7.87865182792736e-06,0.0050108225625618
"nicotinamide riboside [P, nt-ms]",-0.214543702378304,9.18644026691805e-06,0.00584257600975988
"3-hydroxybutyrylcarnitine (2) [P, nt-ms]",-0.211100380855755,1.28503782193656e-05,0.00817284054751655
"17-methylstearate [P, nt-ms]",-0.210945786262198,1.30438170365652e-05,0.00829586763525544
"6-hydroxyindole sulfate [P, nt-ms]",0.210939661626727,1.30515372969112e-05,0.00830077772083553
"valine [P, nt-ms]",0.210393279291675,1.37580202763471e-05,0.00875010089575677
"N-acetylthreonine [P, nt-ms]",0.209073599267454,1.56173188239109e-05,0.00993261477200732
"3-hydroxydecanoate [P, nt-ms]",-0.208516444162958,1.64719060806237e-05,0.0104761322672767
"1-behenoyl-GPC (22:0) [P, nt-ms]",0.206272251078938,2.03851512200207e-05,0.0129649561759332
"vanillylmandelate (VMA) [P, nt-ms]",0.205777475351564,2.13593517257994e-05,0.0135845476976084
"C14:1 (tetradecenoylcarnitine) [P, t-ms]",-0.204387782082556,2.43373286392751e-05,0.015478541014579
"PC aa C32:0 [P, t-ms]",-0.20436522720612,2.43887617535774e-05,0.0155112524752752
"methylsuccinate [P, nt-ms]",0.203930494405074,2.54004694413752e-05,0.0161546985647146
"spermidine [P, nt-ms]",-0.202454322659093,2.91408074483128e-05,0.0185335535371269
"PC ae C38:2 [P, t-ms]",-0.201464647632201,3.19343845938317e-05,0.020310268601677
"succinylcarnitine [P, nt-ms]",0.199706568520704,3.75325168419263e-05,0.0238706807114651
"C14:1-OH (hydroxytetradecenoylcarnitine) [P, t-ms]",-0.197710588820473,4.50104011445445e-05,0.0286266151279303
"tartarate [P, nt-ms]",0.197018930808672,4.79151978020058e-05,0.0304740658020757
"N-acetylglutamate [P, nt-ms]",0.196425251301767,5.05488784819975e-05,0.0321490867145504
"5alpha-androstan-3alpha,17beta-diol monosulfate (2) [P, nt-ms]",-0.196344028773814,5.0919652907395e-05,0.0323848992491033
"C18:2 (octadecadienylcarnitine) [P, t-ms]",-0.196202700397499,5.15709354727932e-05,0.0327991149606965
"2-hydroxy-3-methylvalerate [P, nt-ms]",0.195848560614711,5.32376377329068e-05,0.0338591375981287
"palmitoyl ethanolamide [P, nt-ms]",-0.193563613427561,6.52766937963979e-05,0.0415159772545091
"myristoleoylcarnitine [P, nt-ms]",-0.193449737195515,6.59392672137028e-05,0.041937373947915
"taurine [P, nt-ms]",-0.191282597980406,7.98236080835871e-05,0.0507678147411614
"PC ae C34:2 [P, t-ms]",-0.190802288823698,8.32531366740993e-05,0.0529489949247272
"dopamine sulfate (2) [P, nt-ms]",0.190241148183429,8.74354925344233e-05,0.0556089732518932
"N-acetyl-3-methylhistidine [P, nt-ms]",-0.189980817810966,8.9442270330025e-05,0.0568852839298959
"propionylglycine [P, nt-ms]",0.189874940081056,9.0270773380173e-05,0.0574122118697901
"indolin-2-one [P, nt-ms]",0.18965409944949,9.20221729380094e-05,0.058526101988574
"5-hydroxyindoleacetate [P, nt-ms]",0.188164560334862,0.00010469698968442,0.0665872854392912
"methyl-4-hydroxybenzoate sulfate [P, nt-ms]",0.187477714087813,0.000111078864304241,0.0706461576974973
"octadecanedioate [P, nt-ms]",-0.183789646586442,0.000152076207606619,0.0967204680378095
"threonine [P, nt-ms]",0.182545614007867,0.000168846436819609,0.107386333817271
"caprylate (8:0) [P, nt-ms]",-0.182102450793492,0.000175228257264704,0.111445171620352
"3-methylhistidine [P, nt-ms]",-0.181760116173017,0.000180312075407603,0.114678479959235
"PC ae C36:3 [P, t-ms]",-0.181613676962956,0.000182528681274185,0.116088241290382
"adenosine [P, nt-ms]",-0.181386621724589,0.00018601607834366,0.118306225826568
"trigonelline (N'-methylnicotinate) [P, nt-ms]",-0.180316683230342,0.000203305740517149,0.129302450968907
"pristanate [P, nt-ms]",-0.180245601388086,0.000204506095494069,0.130065876734228
"C0 (carnitine) [P, t-ms]",0.179699789899906,0.0002139466464567,0.136070067146461
"2-hydroxyoctanoate [P, nt-ms]",0.179598066558812,0.000215750560251812,0.137217356320153
"ornithine [P, nt-ms]",0.179488293941707,0.000217713174354016,0.138465578889154
"PC ae C34:0 [P, t-ms]",-0.178244572052193,0.000241147534203254,0.153369831753269
"3b-hydroxy-5-cholenoic acid [P, nt-ms]",0.176009277132687,0.000289293880480101,0.183990907985344
"glutamine [P, nt-ms]",-0.17565819117843,0.000297625503657642,0.18928982032626
"gamma-glutamylglutamate [P, nt-ms]",0.174998390828428,0.000313892280624969,0.199635490477481
"C4 (butyrylcarnitine) [P, t-ms]",0.174984526672724,0.000314242820982178,0.199858434144665
"4-hydroxyhippurate [P, nt-ms]",0.172907872287163,0.000371074345465505,0.236003283716061
"N6-carbamoylthreonyladenosine [P, nt-ms]",0.172625251863008,0.00037951017263053,0.241368469793017
"1-methylguanidine [P, nt-ms]",0.17218756379722,0.000392927731518344,0.249902037245667
"N-acetyl-beta-alanine [P, nt-ms]",0.171095805949879,0.000428345098329444,0.272427482537526
"cystathionine [P, nt-ms]",0.170564005187785,0.000446652611894756,0.284071061165065
"cysteine s-sulfate [P, nt-ms]",0.16990354873975,0.000470402106332883,0.299175739627714
"gamma-carboxyglutamate [P, nt-ms]",0.169205308798227,0.00049678307844691,0.315954037892235
"andro steroid monosulfate (1) [P, nt-ms]",0.167879076012241,0.00055071416864616,0.350254211258958
"PC ae C32:1 [P, t-ms]",-0.167868702315477,0.000551156657668363,0.350535634277079
"gamma-glutamyltryptophan [P, nt-ms]",0.167823512192029,0.000553088090483316,0.351764025547389
"gamma-glutamylisoleucine [P, nt-ms]",0.167163471129425,0.000582023812629312,0.370167144832242
"lysoPC a C20:3 [P, t-ms]",-0.16596619234153,0.000638124705212819,0.405847312515353
"choline [P, nt-ms]",0.164579505204344,0.00070934698708692,0.451144683787281
"sarcosine (N-methylglycine) [P, nt-ms]",0.16425465103201,0.000727063357625101,0.462412295449564
"C8 (octanoylcarnitine) [P, t-ms]",-0.16359484728698,0.000764314078115916,0.486103753681723
"PC aa C30:0 [P, t-ms]",-0.16313832198587,0.00079111333163555,0.50314807892021
"hexadecanedioate [P, nt-ms]",-0.1626573101672,0.000820288194370284,0.521703291619501
"xanthurenate [P, nt-ms]",0.162477063752733,0.000831474557155063,0.52881781835062
"hypotaurine [P, nt-ms]",-0.161344601257748,0.000905044882887764,0.575608545516618
"N-acetyltyrosine [P, nt-ms]",0.161133279829745,0.000919421753303526,0.584752235101043
"isoleucine [P, nt-ms]",0.159728536494502,0.00102047928999366,0.649024828435965
"3-aminoisobutyrate [P, nt-ms]",-0.159447440461116,0.00104189283831053,0.662643845165496
"octanoylcarnitine [P, nt-ms]",-0.159234585090736,0.00105838269813967,0.673131396016832
"12-HETE [P, nt-ms]",-0.159082914500255,0.00107027901157185,0.680697451359698
"C16:1-OH (hexadecenoylcarnitine) [P, t-ms]",-0.158557460230589,0.0011124527413054,0.707519943470237
"orotidine [P, nt-ms]",0.158521849691018,0.00111536557104506,0.709372503184658
"1-docosahexaenoyl-GPE (22:6) [P, nt-ms]",-0.158069380788564,0.00115299302453641,0.733303563605159
"N-delta-acetylornithine [P, nt-ms]",0.15770485296317,0.00118415377456591,0.753121800623918
"1,5-anhydroglucitol (1,5-AG) [P, nt-ms]",0.157070098461354,0.00124027085278577,0.788812262371751
"gamma-glutamylleucine [P, nt-ms]",0.156896024636929,0.00125608227338729,0.798868325874315
"C12 (dodecanoylcarnitine) [P, t-ms]",-0.156752403584075,0.0012692670068722,0.807253816370718
"PC ae C40:3 [P, t-ms]",-0.155734505577381,0.00136642253236567,0.869044730584567
"cholate [P, nt-ms]",0.155295924080234,0.0014103536269858,0.896984906762966
"C14 (tetradecanoylcarnitine) [P, t-ms]",-0.15495562928608,0.00144532959681042,0.919229623571428
"arabonate/xylonate [P, nt-ms]",0.154867184955705,0.0014545495431255,0.925093509427818
"5alpha-androstan-3alpha,17beta-diol disulfate [P, nt-ms]",-0.154825973395362,0.00145886409386167,0.92783756369602
"1-methylimidazoleacetate [P, nt-ms]",-0.15449687715881,0.0014937420211108,0.950019925426468
"2-aminophenol sulfate [P, nt-ms]",-0.15431502751844,0.00151334138358438,0.962485119959666
"1-(1-enyl-oleoyl)-GPC (P-18:1) [P, nt-ms]",0.00740507491194295,0.879732232253655,1
"1-(1-enyl-oleoyl)-GPE (P-18:1) [P, nt-ms]",-0.017457177434256,0.721296473979756,1
"1-(1-enyl-palmitoyl)-GPC (P-16:0) [P, nt-ms]",0.0741920402007972,0.129002880644396,1
"1-(1-enyl-palmitoyl)-GPE (P-16:0) [P, nt-ms]",0.0402654301693868,0.410468024419182,1
"1-(1-enyl-stearoyl)-GPC (P-18:0) [P, nt-ms]",-0.0215888889844011,0.659087473622928,1
"1-(1-enyl-stearoyl)-GPE (P-18:0) [P, nt-ms]",0.0720131249734733,0.140658047763757,1
"1-adrenoyl-GPC (22:4) [P, nt-ms]",-0.0645364123934627,0.186822471105686,1
"1-arachidonoyl-GPC (20:4n6) [P, nt-ms]",0.0762797064298145,0.118550962839322,1
"1-arachidonoyl-GPE (20:4n6) [P, nt-ms]",-0.103663855509712,0.0336809877766855,1
"1-arachidonoyl-GPI (20:4) [P, nt-ms]",0.00423095865606389,0.9311080489337,1
"1-arachidonylglycerol (20:4) [P, nt-ms]",-0.0263558831411572,0.590149984087867,1
"1-dihomo-linolenoyl-GPC (20:3n3 or 6) [P, nt-ms]",-0.0399207575125589,0.414489184979342,1
"1-dihomo-linolenoyl-GPE (20:3n3 or 6) [P, nt-ms]",-0.0303679483803676,0.534832497014857,1
"1-dihomo-linoleoyl-GPC (20:2) [P, nt-ms]",-0.0598539255365722,0.220921139597857,1
"1-docosahexaenoyl-GPC (22:6) [P, nt-ms]",-0.0238723368278747,0.625656950520641,1
"1-docosapentaenoyl-GPC (22:5n3) [P, nt-ms]",-0.0425397989531082,0.384517982845737,1
"1-docosapentaenoyl-GPC (22:5n6) [P, nt-ms]",-0.036744935609665,0.452618670040779,1
"1-eicosapentaenoyl-GPC (20:5) [P, nt-ms]",0.0181699758925056,0.710418137907156,1
"1-eicosapentaenoyl-GPE (20:5) [P, nt-ms]",-0.0492868782262344,0.313606845080345,1
"1-eicosenoyl-GPC (20:1) [P, nt-ms]",0.101791420369073,0.0370415875479244,1
"1-linolenoyl-GPC (18:3) [P, nt-ms]",0.100513102658934,0.039495827891511,1
"1-linoleoyl-GPC (18:2) [P, nt-ms]",0.00269310033090139,0.956116359917242,1
"1-linoleoyl-GPE (18:2) [P, nt-ms]",-0.0371220645206946,0.447990049194756,1
"1-linoleoyl-GPI (18:2) [P, nt-ms]",0.0143049746713683,0.770052680545971,1
"1-linoleoylglycerol (18:2) [P, nt-ms]",-0.0066571392451456,0.891800993858615,1
"1-margaroyl-GPC (17:0) [P, nt-ms]",0.0847372873234421,0.0828217947722636,1
"1-methylhistidine [P, nt-ms]",-0.0665514981739918,0.173404786180047,1
"1-methylnicotinamide [P, nt-ms]",-0.0425591854848848,0.384301174658723,1
"1-methylurate [P, nt-ms]",-0.0768884595407908,0.115631261989641,1
"1-methylxanthine [P, nt-ms]",-0.108952594988654,0.0255581776947819,1
"1-myristoyl-GPC (14:0) [P, nt-ms]",-0.000716853840655624,0.988313523226721,1
"1-nonadecanoyl-GPC (19:0) [P, nt-ms]",-0.0225669844432857,0.644679543300126,1
"1-oleoyl-GPC (18:1) [P, nt-ms]",0.0880401581237168,0.0714808693886033,1
"1-oleoyl-GPE (18:1) [P, nt-ms]",0.027779819207069,0.57021849631939,1
"1-oleoyl-GPI (18:1) [P, nt-ms]",0.14242880756957,0.00344290938998857,1
"1-palmitoleoyl-GPC (16:1) [P, nt-ms]",0.0216085994068371,0.65879585612946,1
"1-palmitoyl-GPC (16:0) [P, nt-ms]",0.0628461957737061,0.19865387023888,1
"1-palmitoyl-GPE (16:0) [P, nt-ms]",0.013609431394018,0.780941738680063,1
"1-palmitoyl-GPG (16:0) [P, nt-ms]",0.114816381862208,0.0185820072706,1
"1-palmitoyl-GPI (16:0) [P, nt-ms]",-0.0340897632916432,0.485957590009149,1
"1-palmitoylglycerol (16:0) [P, nt-ms]",-0.0417259906301172,0.393686284818408,1
"1-palmityl-GPC (O-16:0) [P, nt-ms]",0.0954891733562762,0.0505141640951777,1
"1-pentadecanoyl-GPC (15:0) [P, nt-ms]",0.058936562498371,0.228092012404774,1
"1-stearoyl-GPC (18:0) [P, nt-ms]",0.065678142123513,0.17912927914749,1
"1-stearoyl-GPE (18:0) [P, nt-ms]",0.0348319295646295,0.476507660525036,1
"1-stearoyl-GPI (18:0) [P, nt-ms]",0.0547733802324388,0.262707032442465,1
"1-stearyl-GPC (O-18:0) [P, nt-ms]",0.094099328659998,0.0539805424726363,1
"1,7-dimethylurate [P, nt-ms]",-0.0725581618795961,0.137669577623108,1
"10-undecenoate (11:1n1) [P, nt-ms]",-0.0597015407024329,0.222101018342565,1
"16a-hydroxy DHEA 3-sulfate [P, nt-ms]",0.124893543765704,0.0104081421011929,1
"17alpha-hydroxypregnenolone sulfate [P, nt-ms]",0.00177862270127272,0.971009410925376,1
"2-aminoadipate [P, nt-ms]",0.0417053611013502,0.393920396517834,1
"2-aminobutyrate [P, nt-ms]",-0.0149166512078011,0.760513706136041,1
"2-aminoheptanoate [P, nt-ms]",-0.133259233493526,0.00623668665093262,1
"2-arachidonoyl-GPC (20:4) [P, nt-ms]",0.0293786472192756,0.54822746514198,1
"2-arachidonoyl-GPE (20:4) [P, nt-ms]",-0.0427102796751528,0.382613976213778,1
"2-docosahexaenoyl-GPC (22:6) [P, nt-ms]",-0.0438677043156591,0.369840140831735,1
"2-docosahexaenoyl-GPE (22:6) [P, nt-ms]",-0.0844296851774168,0.0839481078881441,1
"2-hydroxybutyrate/2-hydroxyisobutyrate [P, nt-ms]",-0.139328413605683,0.00422521389041272,1
"2-hydroxyglutarate [P, nt-ms]",-0.103655235344977,0.0336958428000287,1
"2-hydroxypalmitate [P, nt-ms]",-0.0876099108356647,0.0728821558193304,1
"2-hydroxystearate [P, nt-ms]",-0.012534573309509,0.797852933207879,1
"2-linoleoyl-GPC (18:2) [P, nt-ms]",-0.0274418925778395,0.574919576087845,1
"2-linoleoyl-GPE (18:2) [P, nt-ms]",-0.0159423823503814,0.744599438371261,1
"2-linoleoylglycerol (18:2) [P, nt-ms]",0.0553362636527905,0.257826483944503,1
"2-methylbutyrylcarnitine (C5) [P, nt-ms]",0.145471031101695,0.00280538353011134,1
"2-methylmalonyl carnitine [P, nt-ms]",-0.0237813511040442,0.626975034990615,1
"2-myristoyl-GPC (14:0) [P, nt-ms]",-0.0214691214387251,0.660860554418412,1
"2-oleoyl-GPC (18:1) [P, nt-ms]",0.0762390358414585,0.118748061272438,1
"2-oleoyl-GPE (18:1) [P, nt-ms]",0.0779180266926848,0.110821792408353,1
"2-palmitoyl-GPC (16:0) [P, nt-ms]",0.0328860966033643,0.501496070825737,1
"2-palmitoyl-GPE (16:0) [P, nt-ms]",0.109367529149923,0.0249992127399549,1
"2-piperidinone [P, nt-ms]",-0.0319943444501532,0.51317479423322,1
"2-pyrrolidinone [P, nt-ms]",0.14025332710421,0.00397650272847192,1
"2-stearoyl-GPE (18:0) [P, nt-ms]",0.0353580937265,0.46986930837296,1
"2,3-dihydroxyisovalerate [P, nt-ms]",0.0790459089817798,0.105735207184679,1
"2'-deoxyuridine [P, nt-ms]",0.111932091293637,0.0217731108874411,1
"21-hydroxypregnenolone disulfate [P, nt-ms]",0.136695937990589,0.005011896107288,1
"21-hydroxypregnenolone monosulfate (1) [P, nt-ms]",0.118915624313161,0.0147508058497564,1
"3-(4-hydroxyphenyl)lactate [P, nt-ms]",0.137528854280516,0.00474978073019252,1
"3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF) [P, nt-ms]",-0.0490555896685647,0.315885872139456,1
