"metabolite","X1","X2","X3","Assigned_Cluster","super_pathway","sub_pathway","Challenge"
"c2 (acetylcarnitine)",0.320320526939246,0.330920456221552,0.348759016839202,3,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","Fasting"
"c3 (propionylcarnitine)",0.323088526704231,0.332255408586641,0.344656064709128,3,"Lipids","Fatty Acid Metabolism (also BCAA Metabolism)","Fasting"
"c4 (butyrylcarnitine)",0.320547844844852,0.331527552192113,0.347924602963034,3,"Lipids","Fatty Acid Metabolism (also BCAA Metabolism)","Fasting"
"caprate (10:0)",0.380190034330453,0.289604376008805,0.330205589660743,1,"Lipids","Medium Chain Fatty Acid","Fasting"
"choline",0.349902423095468,0.266715506501248,0.383382070403284,3,"Lipids","Phospholipid Metabolism","Fasting"
"cis-aconitate",0.273694981546096,0.419452674149878,0.306852344304026,2,"Energy","TCA Cycle","Fasting"
"cortisol",0.286321184214257,0.387963383285954,0.325715432499788,2,"Lipids","Steroid","Fasting"
"deoxycholate",0.297587725245393,0.385457410264809,0.316954864489798,2,"Lipids","Secondary Bile Acid Metabolism","Fasting"
"dodecanedioate",0.637050213535683,0.161803392763751,0.201146393700566,1,"Lipids","Fatty Acid, Dicarboxylate","Fasting"
"dopamine sulfate (2)",0.309756071602033,0.365666719177723,0.324577209220244,2,"Amino Acids","Phenylalanine and Tyrosine Metabolism","Fasting"
"gamma-glutamylglycine",0.251707522433317,0.223891427287271,0.524401050279412,3,"Peptides","Gamma-glutamyl Amino Acid","Fasting"
"gamma-glutamyltryptophan",0.393276135107613,0.260971774186885,0.345752090705503,1,"Peptides","Gamma-glutamyl Amino Acid","Fasting"
"glycerol",0.407516396665769,0.257054941416412,0.335428661917819,1,"Lipids","Glycerolipid Metabolism","Fasting"
"hexadecanedioate",0.48272333610819,0.22914316276817,0.28813350112364,1,"Lipids","Fatty Acid, Dicarboxylate","Fasting"
"hippurate",0.299918794708191,0.295416363728204,0.404664841563605,3,"Xenobiotics","Benzoate Metabolism","Fasting"
"indoleacetylglutamine",0.279483475647637,0.405494521175007,0.315022003177357,2,"Amino Acids","Tryptophan Metabolism","Fasting"
"indolepropionate",0.390020176468819,0.261760279537472,0.34821954399371,1,"Amino Acids","Tryptophan Metabolism","Fasting"
"isobutyrylcarnitine",0.295377454351913,0.389254846744539,0.315367698903548,2,"Amino Acids","Leucine, Isoleucine and Valine Metabolism","Fasting"
"laurate (12:0)",0.381031387034714,0.288992937726803,0.329975675238483,1,"Lipids","Medium Chain Fatty Acid","Fasting"
"lysopc a c14:0",0.323706285309824,0.331909592582537,0.344384122107639,3,"Lipids","Lysolipid","Fasting"
"lysopc a c16:1",0.325380731520682,0.332293529394934,0.342325739084384,3,"Lipids","Lysolipid","Fasting"
"lysopc a c18:2",0.325754828117507,0.332825629453979,0.341419542428514,3,"Lipids","Lysolipid","Fasting"
"lysopc a c20:4",0.320088481837441,0.330841988839569,0.34906952932299,3,"Lipids","Lysolipid","Fasting"
"malate",0.201860665376973,0.575934485228594,0.222204849394433,2,"Energy","TCA Cycle","Fasting"
"methyl-4-hydroxybenzoate sulfate",0.302555633924385,0.31419806141718,0.383246304658434,3,"Xenobiotics","Benzoate Metabolism","Fasting"
"methylmalonate (mma)",0.233125768737906,0.510827655360281,0.256046575901813,2,"Lipids","Fatty Acid Metabolism (also BCAA Metabolism)","Fasting"
"myristoleoylcarnitine",0.543402606806598,0.203179219091705,0.253418174101697,1,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","Fasting"
"myristoylcarnitine",0.370131587567563,0.297278422237852,0.332589990194585,1,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","Fasting"
"n-acetylglutamate",0.307552609694743,0.369102308183803,0.323345082121455,2,"Amino Acids","Glutamate Metabolism","Fasting"
"n-acetylglycine",0.39511633762936,0.279340423715476,0.325543238655163,1,"Amino Acids","Glycine, Serine and Threonine Metabolism","Fasting"
"n-acetylkynurenine (2)",0.265478196413175,0.438448766776186,0.296073036810638,2,"Amino Acids","Tryptophan Metabolism","Fasting"
"n-acetyltryptophan",0.246711883608808,0.482902098412303,0.270386017978889,2,"Amino Acids","Tryptophan Metabolism","Fasting"
"o-methylcatechol sulfate",0.300813546657633,0.380021871949449,0.319164581392918,2,"Xenobiotics","Benzoate Metabolism","Fasting"
"octadecanedioate",0.41876594088504,0.253515160315665,0.327718898799295,1,"Lipids","Fatty Acid, Dicarboxylate","Fasting"
"oleoylcarnitine",0.361456730809867,0.266369709543274,0.372173559646859,3,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","Fasting"
"ornithine",0.428079810951638,0.250350167432891,0.32157002161547,1,"Amino Acids","Urea cycle; Arginine and Proline Metabolism","Fasting"
"palmitoylcarnitine",0.366083599483852,0.300577768414944,0.333338632101204,1,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","Fasting"
"pc aa c36:1",0.310840013357352,0.327054204272768,0.362105782369881,3,"Lipids","Diacylphosphatidylcholine","Fasting"
"pc aa c36:2",0.325959351964088,0.332861332306072,0.34117931572984,3,"Lipids","Diacylphosphatidylcholine","Fasting"
"phenylacetylcarnitine",0.289466722774801,0.399681680035928,0.310851597189272,2,"Amino Acids","Phenylalanine and Tyrosine Metabolism","Fasting"
"phenyllactate (pla)",0.258501375124345,0.454099956758918,0.287398668116737,2,"Amino Acids","Phenylalanine and Tyrosine Metabolism","Fasting"
"phosphate",0.41959045941776,0.253242835274895,0.327166705307344,1,"Energy","Oxidative Phosphorylation","Fasting"
"piperine",0.292000067937441,0.249693383761448,0.45830654830111,3,"Xenobiotics","Food Component/Plant","Fasting"
"pregnenolone sulfate",0.2565798187476,0.458356109990641,0.285064071261759,2,"Lipids","Steroid","Fasting"
"pro-hydroxy-pro",0.54271671163171,0.2034787580993,0.25380453026899,1,"Amino Acids","Urea cycle; Arginine and Proline Metabolism","Fasting"
"proline",0.32249307475091,0.332101144812223,0.345405780436867,3,"Amino Acids","Urea cycle; Arginine and Proline Metabolism","Fasting"
"propionylcarnitine",0.268962558502001,0.438304062655846,0.292733378842153,2,"Lipids","Fatty Acid Metabolism (also BCAA Metabolism)","Fasting"
"pyruvate",0.294276610143556,0.391167499020341,0.314555890836103,2,"Carbohydrates","Glycolysis, Gluconeogenesis, and Pyruvate Metabolism","Fasting"
"sebacate (decanedioate)",0.389256865012494,0.261938647242549,0.348804487744957,1,"Lipids","Fatty Acid, Dicarboxylate","Fasting"
"suberoyl carnitine",0.434853982879676,0.256177960326886,0.308968056793438,1,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","Fasting"
"tetradecanedioate",0.472833229932975,0.236975085990095,0.29019168407693,1,"Lipids","Fatty Acid, Dicarboxylate","Fasting"
"trans-urocanate",0.395972700971007,0.260286258351587,0.343741040677406,1,"Amino Acids","Histidine Metabolism","Fasting"
"trigonelline (n'-methylnicotinate)",0.433785228760274,0.256748289942806,0.30946648129692,1,"Cofactors and Vitamins","Nicotinate and Nicotinamide Metabolism","Fasting"
"urea",0.290536269294423,0.376204670475087,0.33325906023049,2,"Amino Acids","Urea cycle; Arginine and Proline Metabolism","Fasting"
"xanthine",0.672179455664396,0.146185552682935,0.18163499165267,1,"Nucleotides","Purine Metabolism, (Hypo)Xanthine/Inosine containing","Fasting"
"xanthurenate",0.282624536724473,0.397619387832477,0.319756075443049,2,"Amino Acids","Tryptophan Metabolism","Fasting"
