"metabolite","X1","X2","X3","Assigned_Cluster","super_pathway","sub_pathway","Challenge"
"c16:2 (hexadecadienylcarnitine)",0.0430988169903628,0.931843076271367,0.0250581067382701,2,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","PAT"
"c18:1 (octadecenoylcarnitine)",0.0486550579030651,0.922501485392654,0.0288434567042806,2,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","PAT"
"c2 (acetylcarnitine)",0.000288332939720808,0.999626818618149,8.48484421298255e-05,2,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","PAT"
"c3 (propionylcarnitine)",0.250162733227672,0.599087603034824,0.150749663737504,2,"Lipids","Fatty Acid Metabolism (also BCAA Metabolism)","PAT"
"c4 (butyrylcarnitine)",0.273797020103198,0.551942709627562,0.174260270269241,2,"Lipids","Fatty Acid Metabolism (also BCAA Metabolism)","PAT"
"caprate (10:0)",4.51727181962353e-06,0.999994637171455,8.45556725805528e-07,2,"Lipids","Medium Chain Fatty Acid","PAT"
"choline",5.17989031481046e-06,0.0122703781076757,0.98772444200201,3,"Lipids","Phospholipid Metabolism","PAT"
"cis-aconitate",0.989971311698373,0.0100201989881689,8.48931345769362e-06,1,"Energy","TCA Cycle","PAT"
"cortisol",9.19246799391932e-08,0.999999536498242,3.71577077500344e-07,2,"Lipids","Steroid","PAT"
"deoxycholate",0.529091793587165,0.4707806212855,0.000127585127334961,1,"Lipids","Secondary Bile Acid Metabolism","PAT"
"dodecanedioate",1.6911037342529e-05,0.994235382135795,0.00574770682686283,2,"Lipids","Fatty Acid, Dicarboxylate","PAT"
"dopamine sulfate (2)",0.995418364587878,0.00436577715742646,0.000215858254695823,1,"Amino Acids","Phenylalanine and Tyrosine Metabolism","PAT"
"gamma-glutamylglycine",1.17008922040362e-17,3.45239022859976e-15,0.999999999999996,3,"Peptides","Gamma-glutamyl Amino Acid","PAT"
"gamma-glutamyltryptophan",2.33379709869771e-07,2.33094232026324e-05,0.999976457197087,3,"Peptides","Gamma-glutamyl Amino Acid","PAT"
"glycerol",1,5.01912054596639e-16,2.63883078457674e-18,1,"Lipids","Glycerolipid Metabolism","PAT"
"hexadecanedioate",1.05783514782823e-06,0.999970181058539,2.87611063127202e-05,2,"Lipids","Fatty Acid, Dicarboxylate","PAT"
"hippurate",0.999999371950649,6.21493268668012e-07,6.5560825902602e-09,1,"Xenobiotics","Benzoate Metabolism","PAT"
"indoleacetylglutamine",0.998098930904933,0.00189885983860026,2.20925646675559e-06,1,"Amino Acids","Tryptophan Metabolism","PAT"
"indolepropionate",0.999992518311056,7.46362212561475e-06,1.80668188124079e-08,1,"Amino Acids","Tryptophan Metabolism","PAT"
"isobutyrylcarnitine",0.999067269597498,0.000904081106176249,2.86492963261845e-05,1,"Amino Acids","Leucine, Isoleucine and Valine Metabolism","PAT"
"laurate (12:0)",2.05542994995079e-07,0.999999640757763,1.53699242136651e-07,2,"Lipids","Medium Chain Fatty Acid","PAT"
"lysopc a c14:0",0.0649392448969971,0.908024211015412,0.0270365440875907,2,"Lipids","Lysolipid","PAT"
"lysopc a c16:1",1.35398852339108e-06,0.999998222300927,4.23710549705267e-07,2,"Lipids","Lysolipid","PAT"
"lysopc a c18:2",1.96771460276886e-05,0.999974709012427,5.6138415448563e-06,2,"Lipids","Lysolipid","PAT"
"lysopc a c20:4",0.00142033510099019,0.998002278556527,0.000577386342482367,2,"Lipids","Lysolipid","PAT"
"malate",0.999172507137225,0.000802785077104435,2.47077856702247e-05,1,"Energy","TCA Cycle","PAT"
"methyl-4-hydroxybenzoate sulfate",5.60358972692179e-10,3.18823858536025e-07,0.999999680615783,3,"Xenobiotics","Benzoate Metabolism","PAT"
"methylmalonate (mma)",0.99999932966076,6.68355959054935e-07,1.9832813148739e-09,1,"Lipids","Fatty Acid Metabolism (also BCAA Metabolism)","PAT"
"myristoleoylcarnitine",2.87936603785691e-21,9.17447174539311e-19,1,3,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","PAT"
"myristoylcarnitine",1.68389265758137e-15,4.70373260118057e-13,0.999999999999528,3,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","PAT"
"n-acetylglutamate",0.999991056668837,8.82071385228798e-06,1.22617310141376e-07,1,"Amino Acids","Glutamate Metabolism","PAT"
"n-acetylglycine",2.86839614122043e-08,3.68048026078425e-06,0.999996290835778,3,"Amino Acids","Glycine, Serine and Threonine Metabolism","PAT"
"n-acetylkynurenine (2)",0.999999733357085,2.658019198869e-07,8.40994571599648e-10,1,"Amino Acids","Tryptophan Metabolism","PAT"
"n-acetyltryptophan",0.999817869734783,0.000178173935297204,3.95632991994856e-06,1,"Amino Acids","Tryptophan Metabolism","PAT"
"o-methylcatechol sulfate",5.9614259084283e-07,0.999999140064557,2.63792852211896e-07,2,"Xenobiotics","Benzoate Metabolism","PAT"
"octadecanedioate",7.64564355526848e-11,3.80090524555695e-08,0.999999961914491,3,"Lipids","Fatty Acid, Dicarboxylate","PAT"
"oleoylcarnitine",1.95697072300237e-21,6.04938002113361e-19,1,3,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","PAT"
"ornithine",7.39497149225241e-22,2.29494963520006e-19,1,3,"Amino Acids","Urea cycle; Arginine and Proline Metabolism","PAT"
"palmitoylcarnitine",8.57703618367432e-08,9.72550357785534e-06,0.99999018872606,3,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","PAT"
"pc aa c36:1",0.00520910537166909,0.993091874453818,0.00169902017451301,2,"Lipids","Diacylphosphatidylcholine","PAT"
"pc aa c36:2",0.0950517922385399,0.862605255414257,0.0423429523472026,2,"Lipids","Diacylphosphatidylcholine","PAT"
"phenylacetylcarnitine",0.00104925387510388,0.998934063420036,1.66827048599401e-05,2,"Amino Acids","Phenylalanine and Tyrosine Metabolism","PAT"
"phenyllactate (pla)",1.71999973064496e-05,0.0602889466149869,0.939693853387707,3,"Amino Acids","Phenylalanine and Tyrosine Metabolism","PAT"
"phosphate",0.99949760814118,0.000488990366638943,1.34014921809381e-05,1,"Energy","Oxidative Phosphorylation","PAT"
"piperine",0.999999942613904,5.71875680980104e-08,1.98527822697779e-10,1,"Xenobiotics","Food Component/Plant","PAT"
"pregnenolone sulfate",0.0154968041490514,0.984446627160303,5.656869064539e-05,2,"Lipids","Steroid","PAT"
"pro-hydroxy-pro",1.0669997064135e-06,8.54265011658144e-05,0.999913506499128,3,"Amino Acids","Urea cycle; Arginine and Proline Metabolism","PAT"
"proline",0.0178382151506604,0.975800898188006,0.00636088666133403,2,"Amino Acids","Urea cycle; Arginine and Proline Metabolism","PAT"
"propionylcarnitine",0.999935710781977,6.31247234811104e-05,1.16449454195039e-06,1,"Lipids","Fatty Acid Metabolism (also BCAA Metabolism)","PAT"
"pyruvate",0.999999999991897,8.0512796337972e-12,5.12895103830896e-14,1,"Carbohydrates","Glycolysis, Gluconeogenesis, and Pyruvate Metabolism","PAT"
"sebacate (decanedioate)",4.22750415227286e-06,0.999645059869698,0.000350712626149334,2,"Lipids","Fatty Acid, Dicarboxylate","PAT"
"suberoyl carnitine",2.79125854599852e-07,0.000338034146858881,0.999661686727287,3,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","PAT"
"tetradecanedioate",9.78192515604135e-06,0.998176140924877,0.00181407714996664,2,"Lipids","Fatty Acid, Dicarboxylate","PAT"
"trans-urocanate",3.10219568559291e-09,2.04739965883442e-06,0.999997949498145,3,"Amino Acids","Histidine Metabolism","PAT"
"trigonelline (n'-methylnicotinate)",0.998196414670951,0.00180147006482642,2.11526422222807e-06,1,"Cofactors and Vitamins","Nicotinate and Nicotinamide Metabolism","PAT"
"urea",7.19165834089035e-08,0.999999750372095,1.77711321667507e-07,2,"Amino Acids","Urea cycle; Arginine and Proline Metabolism","PAT"
"xanthine",0.994086373654536,0.00590805690589934,5.56943956506174e-06,1,"Nucleotides","Purine Metabolism, (Hypo)Xanthine/Inosine containing","PAT"
"xanthurenate",0.999145288792331,0.000853575603459129,1.13560420995485e-06,1,"Amino Acids","Tryptophan Metabolism","PAT"
