"metabolite","X1","X2","Assigned_Cluster","super_pathway","sub_pathway","Challenge"
"propionylcarnitine",1.98418266248306e-06,0.999998015817337,2,"Lipids","Fatty Acid Metabolism (also BCAA Metabolism)","Fasting"
"pyruvate",0.000159008124661343,0.999840991875339,2,"Carbohydrates","Glycolysis, Gluconeogenesis, and Pyruvate Metabolism","Fasting"
"sebacate (decanedioate)",0.99999963218302,3.67816979748993e-07,1,"Lipids","Fatty Acid, Dicarboxylate","Fasting"
"suberoyl carnitine",0.99999998529607,1.47039300583332e-08,1,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","Fasting"
"tetradecanedioate",0.999999999882275,1.1772465479457e-10,1,"Lipids","Fatty Acid, Dicarboxylate","Fasting"
"trans-urocanate",0.999999860520273,1.39479727286738e-07,1,"Amino Acids","Histidine Metabolism","Fasting"
"trigonelline (n'-methylnicotinate)",0.999999982927976,1.70720243602121e-08,1,"Cofactors and Vitamins","Nicotinate and Nicotinamide Metabolism","Fasting"
"urea",5.98579939004707e-06,0.99999401420061,2,"Amino Acids","Urea cycle; Arginine and Proline Metabolism","Fasting"
"xanthine",0.999999999999997,3.03598711248478e-15,1,"Nucleotides","Purine Metabolism, (Hypo)Xanthine/Inosine containing","Fasting"
"xanthurenate",1.86825045173205e-07,0.999999813174955,2,"Amino Acids","Tryptophan Metabolism","Fasting"
