challenge,metabolite,platform,super_pathway,sub_pathway,p_value,mean_response,significant
OGTT,1-eicosapentaenoyl-GPE (20:5)*,Metabolon HD4 [nt-ms],Lipid,Lysolipid,0.0162904931363605,-0.1520492616889,FALSE
OGTT,1-eicosenoyl-GPC (20:1)*,Metabolon HD4 [nt-ms],Lipid,Lysolipid,0.476827083844646,-0.00731707328693384,FALSE
OGTT,1-linolenoyl-GPC (18:3)*,Metabolon HD4 [nt-ms],Lipid,Lysolipid,0.0516770010185637,-0.354276277687073,FALSE
OGTT,1-linoleoyl-GPC (18:2),Metabolon HD4 [nt-ms],Lipid,Lysolipid,0.0134571698326118,-0.0903261352470482,FALSE
OGTT,1-linoleoyl-GPE (18:2)*,Metabolon HD4 [nt-ms],Lipid,Lysolipid,1.35502664245938e-06,-0.460510098475308,TRUE
OGTT,1-linoleoyl-GPI (18:2)*,Metabolon HD4 [nt-ms],Lipid,Lysolipid,0.0054732752518792,-0.175949496048285,FALSE
OGTT,1-linoleoylglycerol (18:2),Metabolon HD4 [nt-ms],Lipid,Monoacylglycerol,0.817951212514043,-0.277636422222628,FALSE
OGTT,1-margaroyl-GPC (17:0),Metabolon HD4 [nt-ms],Lipid,Lysolipid,0.482367429646392,0.0715071824657713,FALSE
OGTT,1-methylguanidine,Metabolon HD4 [nt-ms],Amino Acid,Guanidino and Acetamido Metabolism,0.285974952476054,0.10099403250102,FALSE
OGTT,1-methylhistidine,Metabolon HD4 [nt-ms],Amino Acid,Histidine Metabolism,0.00188627217799432,0.215223788322596,FALSE
OGTT,1-methylimidazoleacetate,Metabolon HD4 [nt-ms],Amino Acid,Histidine Metabolism,0.0223748969511569,-0.108661026085935,FALSE
OGTT,1-methylnicotinamide,Metabolon HD4 [nt-ms],Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,2.93301803856019e-06,0.0481074355545027,TRUE
OGTT,1-methylurate,Metabolon HD4 [nt-ms],Xenobiotics,Xanthine Metabolism,0.161947924138155,0.615013138221972,FALSE
OGTT,1-methylxanthine,Metabolon HD4 [nt-ms],Xenobiotics,Xanthine Metabolism,0.000170743800601484,0.710727308542883,FALSE
OGTT,1-myristoyl-GPC (14:0),Metabolon HD4 [nt-ms],Lipid,Lysolipid,0.289130110331563,0.55921433947773,FALSE
OGTT,1-nonadecanoyl-GPC (19:0),Metabolon HD4 [nt-ms],Lipid,Lysolipid,0.630643733725956,0.136608244776108,FALSE
OGTT,1-oleoyl-GPC (18:1),Metabolon HD4 [nt-ms],Lipid,Lysolipid,0.211979447552454,-0.143910512931175,FALSE
OGTT,1-oleoyl-GPE (18:1),Metabolon HD4 [nt-ms],Lipid,Lysolipid,0.000308786684668329,-0.910810037947664,FALSE
OGTT,1-oleoyl-GPI (18:1)*,Metabolon HD4 [nt-ms],Lipid,Lysolipid,0.0224259791646157,-0.159555717007683,FALSE
OGTT,1-palmitoleoyl-GPC (16:1)*,Metabolon HD4 [nt-ms],Lipid,Lysolipid,0.333620221240928,0.18189247048009,FALSE
OGTT,1-palmitoyl-GPC (16:0),Metabolon HD4 [nt-ms],Lipid,Lysolipid,0.170158114181621,0.0546944249310366,FALSE
OGTT,1-palmitoyl-GPE (16:0),Metabolon HD4 [nt-ms],Lipid,Lysolipid,0.0578667794566603,0.0559985309245819,FALSE
OGTT,1-palmitoyl-GPG (16:0)*,Metabolon HD4 [nt-ms],Lipid,Lysolipid,0.0456060327885529,0.0425574376537874,FALSE
OGTT,1-palmitoyl-GPI (16:0)*,Metabolon HD4 [nt-ms],Lipid,Lysolipid,0.485386021466044,0.168500290816264,FALSE
OGTT,1-palmitoylglycerol (16:0),Metabolon HD4 [nt-ms],Lipid,Monoacylglycerol,0.630127960517454,-0.00788559230664191,FALSE
OGTT,1-palmityl-GPC (O-16:0),Metabolon HD4 [nt-ms],Lipid,Lyso-phospho-ether,0.401495773124132,0.0789130702376616,FALSE
OGTT,1-pentadecanoyl-GPC (15:0)*,Metabolon HD4 [nt-ms],Lipid,Lysolipid,0.300539838598142,0.247794312696866,FALSE
OGTT,1-stearoyl-GPC (18:0),Metabolon HD4 [nt-ms],Lipid,Lysolipid,0.260232698650775,0.0552250415378566,FALSE
OGTT,1-stearoyl-GPE (18:0),Metabolon HD4 [nt-ms],Lipid,Lysolipid,0.128506249981619,0.0427179344391395,FALSE
OGTT,1-stearoyl-GPI (18:0),Metabolon HD4 [nt-ms],Lipid,Lysolipid,0.294605081612838,0.0634461694504726,FALSE
OGTT,1-stearyl-GPC (O-18:0)*,Metabolon HD4 [nt-ms],Lipid,Lyso-phospho-ether,0.144230336009454,-0.00407882737014815,FALSE
OGTT,10-undecenoate (11:1n1),Metabolon HD4 [nt-ms],Lipid,Medium Chain Fatty Acid,5.03871555180892e-10,-0.298245600705856,TRUE
OGTT,12-HETE,Metabolon HD4 [nt-ms],Lipid,Eicosanoid,0.000230795479821132,-0.515500045715354,FALSE
OGTT,13-HODE + 9-HODE,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Monohydroxy",0.0105144432955244,-0.328464374899455,FALSE
OGTT,15-methylpalmitate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Branched",2.21995002833181e-13,-0.441694708510161,TRUE
OGTT,16-hydroxypalmitate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Monohydroxy",4.40405902127868e-10,-0.408542735882271,TRUE
OGTT,16a-hydroxy DHEA 3-sulfate,Metabolon HD4 [nt-ms],Lipid,Steroid,0.00548176444468968,-0.00756715808841458,FALSE
OGTT,17-methylstearate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Branched",9.2907339969601e-09,-0.314367998223639,TRUE
OGTT,17alpha-hydroxypregnenolone sulfate,Metabolon HD4 [nt-ms],Lipid,Steroid,0.0433151726714619,-0.0508670656977059,FALSE
OGTT,2'-deoxyuridine,Metabolon HD4 [nt-ms],Nucleotide,"Pyrimidine Metabolism, Uracil containing",0.170701183538779,-0.00944029349929472,FALSE
OGTT,"2,3-dihydroxyisovalerate",Metabolon HD4 [nt-ms],Xenobiotics,Food Component/Plant,0.0439900771794132,0.135569289252101,FALSE
OGTT,2-aminoadipate,Metabolon HD4 [nt-ms],Amino Acid,Lysine Metabolism,0.0819029219522392,-0.26121950585731,FALSE
OGTT,2-aminobutyrate,Metabolon HD4 [nt-ms],Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",7.47967654935818e-08,-0.359820847041718,TRUE
OGTT,2-aminoheptanoate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Amino",0.000676462413258479,0.466281231450207,FALSE
OGTT,2-aminooctanoate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Amino",0.0533293443926948,-0.0871911832767869,FALSE
OGTT,2-aminophenol sulfate,Metabolon HD4 [nt-ms],Xenobiotics,Chemical,3.59975160026176e-15,1.93706571746971,TRUE
OGTT,2-arachidonoyl-GPC (20:4)*,Metabolon HD4 [nt-ms],Lipid,Lysolipid,0.745474749259577,-0.182295102250704,FALSE
OGTT,2-arachidonoyl-GPE (20:4)*,Metabolon HD4 [nt-ms],Lipid,Lysolipid,0.0985153338786131,-0.250365956118056,FALSE
OGTT,2-docosahexaenoyl-GPC (22:6)*,Metabolon HD4 [nt-ms],Lipid,Lysolipid,0.392866110277084,-0.326373730570453,FALSE
OGTT,2-docosahexaenoyl-GPE (22:6)*,Metabolon HD4 [nt-ms],Lipid,Lysolipid,0.0930502272349842,-0.169011116034821,FALSE
OGTT,2-hydroxy-3-methylvalerate,Metabolon HD4 [nt-ms],Amino Acid,"Leucine, Isoleucine and Valine Metabolism",1.06627392927524e-08,-0.344107589383704,TRUE
OGTT,2-hydroxybutyrate/2-hydroxyisobutyrate,Metabolon HD4 [nt-ms],Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",4.91191211897163e-05,-0.751454075749556,TRUE
OGTT,2-hydroxydecanoate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Monohydroxy",2.83931222693715e-08,-0.955219620104678,TRUE
OGTT,2-hydroxyglutarate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Dicarboxylate",0.519701933692857,-0.0815114294407581,FALSE
OGTT,2-hydroxyoctanoate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Monohydroxy",0.0729469564941332,-0.72213237050304,FALSE
OGTT,2-hydroxypalmitate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Monohydroxy",0.0569907628343414,-0.160849253638495,FALSE
OGTT,2-hydroxyphenylacetate,Metabolon HD4 [nt-ms],Amino Acid,Phenylalanine and Tyrosine Metabolism,0.240089327115129,-0.185370806016753,FALSE
OGTT,2-hydroxystearate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Monohydroxy",0.410147250762444,-0.0990727344633135,FALSE
OGTT,2-linoleoyl-GPC (18:2)*,Metabolon HD4 [nt-ms],Lipid,Lysolipid,0.0241983535582758,-0.0888922347740975,FALSE
OGTT,2-linoleoyl-GPE (18:2)*,Metabolon HD4 [nt-ms],Lipid,Lysolipid,0.00310383068428701,-0.457936879107281,FALSE
OGTT,2-linoleoylglycerol (18:2),Metabolon HD4 [nt-ms],Lipid,Monoacylglycerol,0.928617570894125,-0.114386533944754,FALSE
OGTT,2-methylbutyrylcarnitine (C5),Metabolon HD4 [nt-ms],Amino Acid,"Leucine, Isoleucine and Valine Metabolism",2.396383553708e-05,-0.218658445312994,TRUE
OGTT,2-methylmalonyl carnitine,Metabolon HD4 [nt-ms],Lipid,Fatty Acid Synthesis,0.531321108255835,0.0976194155041599,FALSE
OGTT,2-myristoyl-GPC (14:0)*,Metabolon HD4 [nt-ms],Lipid,Lysolipid,0.276462549470431,0.551369864290168,FALSE
OGTT,2-oleoyl-GPC (18:1)*,Metabolon HD4 [nt-ms],Lipid,Lysolipid,0.197438376126808,-0.0801131639384847,FALSE
OGTT,2-oleoyl-GPE (18:1)*,Metabolon HD4 [nt-ms],Lipid,Lysolipid,0.04817896619143,-0.848484954224857,FALSE
OGTT,2-palmitoyl-GPC (16:0)*,Metabolon HD4 [nt-ms],Lipid,Lysolipid,0.45958905289912,0.0815639363942415,FALSE
OGTT,2-palmitoyl-GPE (16:0)*,Metabolon HD4 [nt-ms],Lipid,Lysolipid,0.481572523582188,0.165748338741975,FALSE
OGTT,2-piperidinone,Metabolon HD4 [nt-ms],Xenobiotics,Food Component/Plant,0.607989242895024,0.526081145589512,FALSE
OGTT,2-pyrrolidinone,Metabolon HD4 [nt-ms],Xenobiotics,Chemical,0.747998392487217,-0.00865997164522601,FALSE
OGTT,2-stearoyl-GPE (18:0)*,Metabolon HD4 [nt-ms],Lipid,Lysolipid,0.435825691142086,0.0494828013757756,FALSE
OGTT,21-hydroxypregnenolone disulfate,Metabolon HD4 [nt-ms],Lipid,Steroid,0.0332174085601065,-0.0502225302546098,FALSE
OGTT,21-hydroxypregnenolone monosulfate (1),Metabolon HD4 [nt-ms],Lipid,Steroid,0.0493994426762087,-0.231565861882893,FALSE
OGTT,"3,7-dimethylurate",Metabolon HD4 [nt-ms],Xenobiotics,Xanthine Metabolism,0.515794928223686,-1.58695535223102,FALSE
OGTT,3-(4-hydroxyphenyl)lactate,Metabolon HD4 [nt-ms],Amino Acid,Phenylalanine and Tyrosine Metabolism,0.000252442558603489,-0.279814652885736,FALSE
OGTT,3-aminoisobutyrate,Metabolon HD4 [nt-ms],Nucleotide,"Pyrimidine Metabolism, Thymine containing",2.66930210722995e-05,-0.193407668723513,TRUE
OGTT,3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF),Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Dicarboxylate",0.217120274114963,-0.196204495161818,FALSE
OGTT,3-hydroxy-2-ethylpropionate,Metabolon HD4 [nt-ms],Amino Acid,"Leucine, Isoleucine and Valine Metabolism",3.25718744782057e-06,-0.318703693420109,TRUE
OGTT,3-hydroxy-3-methylglutarate,Metabolon HD4 [nt-ms],Lipid,Mevalonate Metabolism,0.235392523414315,-0.600697984302332,FALSE
OGTT,3-hydroxybutyrate (BHBA),Metabolon HD4 [nt-ms],Lipid,Ketone Bodies,2.91328989070188e-12,-1.4573714862504,TRUE
OGTT,3-hydroxybutyrylcarnitine (1),Metabolon HD4 [nt-ms],Lipid,Fatty Acid Metabolism(Acyl Carnitine),1.99271600902382e-20,-1.08896155378891,TRUE
OGTT,3-hydroxybutyrylcarnitine (2),Metabolon HD4 [nt-ms],Lipid,Fatty Acid Metabolism(Acyl Carnitine),3.10691585846816e-07,-0.63337325707096,TRUE
OGTT,3-hydroxydecanoate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Monohydroxy",1.12798736740709e-15,-0.989540251212876,TRUE
OGTT,3-hydroxyhippurate,Metabolon HD4 [nt-ms],Xenobiotics,Benzoate Metabolism,1.51344077883861e-07,1.07361099678005,TRUE
OGTT,3-hydroxyisobutyrate,Metabolon HD4 [nt-ms],Amino Acid,"Leucine, Isoleucine and Valine Metabolism",4.09179210790729e-06,-0.613411527133373,TRUE
OGTT,3-hydroxylaurate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Monohydroxy",6.2126666002874e-09,-1.03794953460508,TRUE
OGTT,3-hydroxymyristate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Monohydroxy",1.26930162272409e-06,-0.292815655668728,TRUE
OGTT,3-hydroxyoctanoate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Monohydroxy",2.35383254031281e-13,-1.06215922078549,TRUE
OGTT,3-hydroxypyridine sulfate,Metabolon HD4 [nt-ms],Xenobiotics,Chemical,5.53208998584626e-10,0.0217716529968469,TRUE
OGTT,3-indoxyl sulfate,Metabolon HD4 [nt-ms],Amino Acid,Tryptophan Metabolism,0.756392208286061,0.0407419900554446,FALSE
OGTT,3-methoxytyrosine,Metabolon HD4 [nt-ms],Amino Acid,Phenylalanine and Tyrosine Metabolism,0.697926173422318,-0.120420589228893,FALSE
OGTT,3-methyl-2-oxobutyrate,Metabolon HD4 [nt-ms],Amino Acid,"Leucine, Isoleucine and Valine Metabolism",3.26351102925025e-06,-0.231880402401876,TRUE
OGTT,3-methyl-2-oxovalerate,Metabolon HD4 [nt-ms],Amino Acid,"Leucine, Isoleucine and Valine Metabolism",1.92798910036724e-31,-0.549318540840775,TRUE
OGTT,3-methylcytidine,Metabolon HD4 [nt-ms],Nucleotide,"Pyrimidine Metabolism, Cytidine containing",0.637537260810373,-0.0394260953065648,FALSE
OGTT,3-methylglutarylcarnitine (2),Metabolon HD4 [nt-ms],Amino Acid,Lysine Metabolism,0.0889782234974259,-0.17132053815279,FALSE
OGTT,3-methylhistidine,Metabolon HD4 [nt-ms],Amino Acid,Histidine Metabolism,5.37933403775293e-14,0.889108544079973,TRUE
OGTT,3-methylxanthine,Metabolon HD4 [nt-ms],Xenobiotics,Xanthine Metabolism,0.000898386528252198,-1.99054170441962,FALSE
OGTT,3-phenylpropionate (hydrocinnamate),Metabolon HD4 [nt-ms],Amino Acid,Phenylalanine and Tyrosine Metabolism,5.62249055271096e-05,0.782320484492941,TRUE
OGTT,3-phosphoglycerate,Metabolon HD4 [nt-ms],Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",0.0363603702449705,0.00821822526855151,FALSE
OGTT,3-ureidopropionate,Metabolon HD4 [nt-ms],Nucleotide,"Pyrimidine Metabolism, Uracil containing",0.0205856368247829,0.124899042745052,FALSE
OGTT,3b-hydroxy-5-cholenoic acid,Metabolon HD4 [nt-ms],Lipid,Secondary Bile Acid Metabolism,0.0288112647676475,-0.145730528805419,FALSE
OGTT,"3beta,7alpha-dihydroxy-5-cholestenoate",Metabolon HD4 [nt-ms],Lipid,Secondary Bile Acid Metabolism,0.375337051648403,-0.190979070133699,FALSE
OGTT,4-acetamidobutanoate,Metabolon HD4 [nt-ms],Amino Acid,Polyamine Metabolism,0.426115921417515,-0.15092117432707,FALSE
OGTT,4-allylphenol sulfate,Metabolon HD4 [nt-ms],Xenobiotics,Food Component/Plant,0.358569748364833,0.425947171353921,FALSE
OGTT,"4-androsten-3alpha,17alpha-diol monosulfate (2)",Metabolon HD4 [nt-ms],Lipid,Steroid,9.95710304574507e-06,0.266311640021902,TRUE
OGTT,"4-androsten-3alpha,17alpha-diol monosulfate (3)",Metabolon HD4 [nt-ms],Lipid,Steroid,0.330821739709355,-0.110743006176651,FALSE
OGTT,"4-androsten-3beta,17beta-diol disulfate (1)",Metabolon HD4 [nt-ms],Lipid,Steroid,0.470662503115798,-0.0880655694871852,FALSE
OGTT,"4-androsten-3beta,17beta-diol disulfate (2)",Metabolon HD4 [nt-ms],Lipid,Steroid,0.0978245745584427,-0.073151818692592,FALSE
OGTT,"4-androsten-3beta,17beta-diol monosulfate (1)",Metabolon HD4 [nt-ms],Lipid,Steroid,0.0637733125993924,-0.110035050455592,FALSE
OGTT,"4-androsten-3beta,17beta-diol monosulfate (2)",Metabolon HD4 [nt-ms],Lipid,Steroid,0.167987390020783,0.0425462278294418,FALSE
OGTT,4-ethylphenylsulfate,Metabolon HD4 [nt-ms],Xenobiotics,Benzoate Metabolism,0.00241477081353728,0.227978215363878,FALSE
OGTT,4-guanidinobutanoate,Metabolon HD4 [nt-ms],Amino Acid,Guanidino and Acetamido Metabolism,0.0416891039611839,-0.150515713810386,FALSE
OGTT,4-hydroxychlorothalonil,Metabolon HD4 [nt-ms],Xenobiotics,Chemical,0.635938148511863,-0.128807860291629,FALSE
OGTT,4-hydroxyhippurate,Metabolon HD4 [nt-ms],Xenobiotics,Benzoate Metabolism,1.29745556265324e-10,0.732347320388915,TRUE
OGTT,4-hydroxyphenylacetatoylcarnitine,Metabolon HD4 [nt-ms],Amino Acid,Phenylalanine and Tyrosine Metabolism,0.329783813420225,-0.224364240048002,FALSE
OGTT,4-hydroxyphenylpyruvate,Metabolon HD4 [nt-ms],Amino Acid,Phenylalanine and Tyrosine Metabolism,0.0296799158186022,-0.557437593094165,FALSE
OGTT,4-methyl-2-oxopentanoate,Metabolon HD4 [nt-ms],Amino Acid,"Leucine, Isoleucine and Valine Metabolism",8.10474424943191e-21,-0.489296506369603,TRUE
OGTT,4-methylcatechol sulfate,Metabolon HD4 [nt-ms],Xenobiotics,Benzoate Metabolism,0.0256622577206464,0.278752203274336,FALSE
OGTT,4-vinylphenol sulfate,Metabolon HD4 [nt-ms],Xenobiotics,Benzoate Metabolism,6.3478272804082e-07,0.801493715195132,TRUE
OGTT,"5,6-dihydrothymine",Metabolon HD4 [nt-ms],Nucleotide,"Pyrimidine Metabolism, Thymine containing",0.0108911701552447,-0.12462178289983,FALSE
OGTT,5-acetylamino-6-amino-3-methyluracil,Metabolon HD4 [nt-ms],Xenobiotics,Xanthine Metabolism,0.00173113438850084,0.798167834966181,FALSE
OGTT,5-dodecenoate (12:1n7),Metabolon HD4 [nt-ms],Lipid,Medium Chain Fatty Acid,3.12971130473116e-16,-0.711724573438168,TRUE
OGTT,5-hydroxyindoleacetate,Metabolon HD4 [nt-ms],Amino Acid,Tryptophan Metabolism,0.160636017594864,-0.165489419389937,FALSE
OGTT,5-hydroxylysine,Metabolon HD4 [nt-ms],Amino Acid,Lysine Metabolism,0.00120926955834985,-0.0247302374072345,FALSE
OGTT,5-methylthioadenosine (MTA),Metabolon HD4 [nt-ms],Amino Acid,Polyamine Metabolism,0.00301870859946615,-0.0579231794572446,FALSE
OGTT,5-methyluridine (ribothymidine),Metabolon HD4 [nt-ms],Nucleotide,"Pyrimidine Metabolism, Uracil containing",0.934753264235909,0.0245139886458999,FALSE
OGTT,5-oxoproline,Metabolon HD4 [nt-ms],Amino Acid,Glutathione Metabolism,0.437538852468168,-0.0586582978241306,FALSE
OGTT,"5alpha-androstan-3alpha, 17beta-diol-17-glucosiduronate",Metabolon HD4 [nt-ms],Lipid,Steroid,0.0800236495475139,0.0782778054621955,FALSE
OGTT,"5alpha-androstan-3alpha,17alpha-diol disulfate",Metabolon HD4 [nt-ms],Lipid,Steroid,0.874325392040044,-0.555474274572185,FALSE
OGTT,"5alpha-androstan-3alpha,17alpha-diol monosulfate",Metabolon HD4 [nt-ms],Lipid,Steroid,0.0818107809958359,-0.360815639345552,FALSE
OGTT,"5alpha-androstan-3alpha,17beta-diol disulfate",Metabolon HD4 [nt-ms],Lipid,Steroid,0.10391636693529,-0.248093086397252,FALSE
OGTT,"5alpha-androstan-3alpha,17beta-diol monosulfate (1)",Metabolon HD4 [nt-ms],Lipid,Steroid,0.0998324161949339,-0.0627271090881631,FALSE
OGTT,"5alpha-androstan-3alpha,17beta-diol monosulfate (2)",Metabolon HD4 [nt-ms],Lipid,Steroid,0.997894739603339,-0.104105573166816,FALSE
OGTT,"5alpha-androstan-3beta,17alpha-diol disulfate",Metabolon HD4 [nt-ms],Lipid,Steroid,0.27543058834796,-0.210122679987396,FALSE
OGTT,"5alpha-androstan-3beta,17beta-diol disulfate",Metabolon HD4 [nt-ms],Lipid,Steroid,0.231426017066827,-0.169502997968155,FALSE
OGTT,"5alpha-androstan-3beta,17beta-diol monosulfate (2)",Metabolon HD4 [nt-ms],Lipid,Steroid,0.583550038923779,-0.219657664132091,FALSE
OGTT,"5alpha-pregnan-3(alpha or beta),20beta-diol disulfate",Metabolon HD4 [nt-ms],Lipid,Steroid,0.107242398778166,-0.440213806237286,FALSE
OGTT,"5alpha-pregnan-3beta,20alpha-diol disulfate",Metabolon HD4 [nt-ms],Lipid,Steroid,0.000795541924544349,-0.100006359033097,FALSE
OGTT,"5alpha-pregnan-3beta,20alpha-diol monosulfate (2)",Metabolon HD4 [nt-ms],Lipid,Steroid,0.137599969441766,0.027197695751544,FALSE
OGTT,"5alpha-pregnan-3beta,20beta-diol monosulfate (1)",Metabolon HD4 [nt-ms],Lipid,Steroid,0.467141911499849,-0.209420176338621,FALSE
OGTT,6-hydroxyindole sulfate,Metabolon HD4 [nt-ms],Xenobiotics,Chemical,0.95428384478306,0.0810020863371081,FALSE
OGTT,6-oxopiperidine-2-carboxylic acid,Metabolon HD4 [nt-ms],Amino Acid,Lysine Metabolism,0.490716197640653,-0.411904700489741,FALSE
OGTT,7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca),Metabolon HD4 [nt-ms],Lipid,Sterol,3.86861100082516e-12,-0.145878583001934,TRUE
OGTT,7-methylguanine,Metabolon HD4 [nt-ms],Nucleotide,"Purine Metabolism, Guanine containing",0.00526808625180923,-0.0545389735791106,FALSE
OGTT,7-methylxanthine,Metabolon HD4 [nt-ms],Xenobiotics,Xanthine Metabolism,5.66510509306549e-06,-2.30783878403423,TRUE
OGTT,"9,10-DiHOME",Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Dihydroxy",0.35939732486459,-0.759324426690183,FALSE
OGTT,C-glycosyltryptophan,Metabolon HD4 [nt-ms],Amino Acid,Tryptophan Metabolism,0.565092918771147,-0.195771245359412,FALSE
OGTT,C0 (carnitine),Biocrates p150 [t-ms],Lipid,Short Chain Acylcarnitines,0.296651397184803,5.29301655595953,FALSE
OGTT,C10 (decanoylcarnitine),Biocrates p150 [t-ms],Lipid,Medium chain Acylcarnitines,1.4580392119824e-11,-2.53362653203587,TRUE
OGTT,C10:1 (decenoylcarnitine),Biocrates p150 [t-ms],Lipid,Medium chain Acylcarnitines,4.99060841370341e-10,-3.42975963153214,TRUE
OGTT,C12 (dodecanoylcarnitine),Biocrates p150 [t-ms],Lipid,Medium chain Acylcarnitines,4.96106271261022e-17,-3.99726166425661,TRUE
OGTT,C12:1 (dodecenoylcarnitine),Biocrates p150 [t-ms],Lipid,Medium chain Acylcarnitines,9.81075991595044e-10,-3.62707234285962,TRUE
OGTT,C14 (tetradecanoylcarnitine),Biocrates p150 [t-ms],Lipid,Long Chain Acylcarnitines,7.20059729805526e-10,-4.9722415952261,TRUE
